,user,time,x,y,z
349,1,2024-10-22 05:49:00,2.189033,1.757273,0.872957
350,1,2024-10-22 05:50:00,1.590533,1.373386,0.955795
351,1,2024-10-22 05:51:00,2.024668,0.306036,1.097995
352,1,2024-10-22 05:52:00,2.873,0.21337,1.690494
353,1,2024-10-22 05:53:00,2.530104,-0.503791,1.778748
354,1,2024-10-22 05:54:00,2.382654,-0.780287,1.787687
355,1,2024-10-22 05:55:00,2.223634,-0.778722,1.800461
356,1,2024-10-22 05:56:00,1.928764,-1.286066,1.857803
357,1,2024-10-22 05:57:00,1.714421,-1.67334,1.921964
358,1,2024-10-22 05:58:00,1.691592,-1.733164,1.717851
359,1,2024-10-22 05:59:00,1.799688,-2.058855,1.553449
360,1,2024-10-22 06:00:00,1.628481,-2.080148,1.166652
361,1,2024-10-22 06:01:00,0.752809,-1.464175,0.533768
362,1,2024-10-22 06:02:00,-0.191219,-1.286007,-0.045621
363,1,2024-10-22 06:03:00,-1.22095,-1.156663,-0.595636
364,1,2024-10-22 06:04:00,-2.035192,-1.052381,-0.926197
365,1,2024-10-22 06:05:00,-2.229215,-1.024095,-1.171143
366,1,2024-10-22 06:06:00,-0.781791,0.004614,-1.007459
367,1,2024-10-22 06:07:00,0.123578,-0.364733,-0.803041
368,1,2024-10-22 06:08:00,0.984239,-1.405747,0.374008
369,1,2024-10-22 06:09:00,0.824144,-2.117587,1.103398
370,1,2024-10-22 06:10:00,0.418163,-1.889734,1.217774
371,1,2024-10-22 06:11:00,-0.035009,-0.289138,0.142199
372,1,2024-10-22 06:12:00,-0.76927,0.233169,-1.43068
373,1,2024-10-22 06:13:00,-0.42354,0.898875,0.421042
374,1,2024-10-22 06:14:00,-1.42845,1.028822,0.763165
375,1,2024-10-22 06:15:00,-1.700026,1.058623,0.206822
376,1,2024-10-22 06:16:00,-2.028754,2.882318,-0.558385
377,1,2024-10-22 06:17:00,-4.646814,3.305575,-1.83558
378,1,2024-10-22 06:18:00,-5.430792,3.814126,-2.324544
379,1,2024-10-22 06:19:00,-4.196443,2.932679,-2.479299
380,1,2024-10-22 06:20:00,-1.544273,2.933242,-1.723701
381,1,2024-10-22 06:21:00,-1.406308,1.521631,-1.546808
382,1,2024-10-22 06:22:00,-2.083148,0.819524,-1.204532
